Issue,year,value
Civil Rights & Discrimination,2019-06-22,20714
Labor Rights ,2019-06-22,1554
Education & Student Debt,2019-06-22,6495
Economy,2019-06-23,5567
Climate and Energy,2019-06-23,3385
Defense,2019-06-23,6570
Taxes,2019-06-23,11561
Poverty,2019-06-23,1780
Healthcare,2019-06-23,7072
Economic Inequality,2019-06-23,652
Civil Rights & Discrimination,2019-06-23,18181
Labor Rights ,2019-06-23,601
Education & Student Debt,2019-06-23,10808
Economy,2019-06-24,20739
Climate and Energy,2019-06-24,4213
Defense,2019-06-24,4238
Taxes,2019-06-24,54821
Poverty,2019-06-24,4639
Healthcare,2019-06-24,4965
Economic Inequality,2019-06-24,4965
Civil Rights & Discrimination,2019-06-24,22043
Labor Rights ,2019-06-24,1278
Education & Student Debt,2019-06-24,99310
Economy,2019-06-25,15297
Climate and Energy,2019-06-25,4514
Defense,2019-06-25,3761
Taxes,2019-06-25,28037
Poverty,2019-06-25,1981
Healthcare,2019-06-25,4238
Economic Inequality,2019-06-25,2457
Civil Rights & Discrimination,2019-06-25,12639
Labor Rights ,2019-06-25,978
Education & Student Debt,2019-06-25,41053
Economy,2019-06-26,46068
Climate and Energy,2019-06-26,28514
Defense,2019-06-26,20213
Taxes,2019-06-26,24902
Poverty,2019-06-26,4163
Healthcare,2019-06-26,43109
Economic Inequality,2019-06-26,1880
Civil Rights & Discrimination,2019-06-26,34833
Labor Rights ,2019-06-26,6119
Education & Student Debt,2019-06-26,30520
Economy,2019-06-27,63072
Climate and Energy,2019-06-27,34733
Defense,2019-06-27,36990
Taxes,2019-06-27,46319
Poverty,2019-06-27,5793
Healthcare,2019-06-27,72025
Economic Inequality,2019-06-27,5216
Civil Rights & Discrimination,2019-06-27,70620
Labor Rights ,2019-06-27,5115
Education & Student Debt,2019-06-27,45893
Economy,2019-06-28,29416
Climate and Energy,2019-06-28,10708
Defense,2019-06-28,28263
Taxes,2019-06-28,26457
Poverty,2019-06-28,4614
Healthcare,2019-06-28,37768
Economic Inequality,2019-06-28,3034
Civil Rights & Discrimination,2019-06-28,66557
Labor Rights ,2019-06-28,1178
Education & Student Debt,2019-06-28,28639
Economy,2019-06-29,14319
Climate and Energy,2019-06-29,3059
Defense,2019-06-29,11962
Taxes,2019-06-29,5868
Poverty,2019-06-29,6420
Healthcare,2019-06-29,12664
Economic Inequality,2019-06-29,1880
Civil Rights & Discrimination,2019-06-29,56426
Labor Rights ,2019-06-29,702
Education & Student Debt,2019-06-29,24827
Economy,2019-06-30,10382
Climate and Energy,2019-06-30,6721
Defense,2019-06-30,9855
Taxes,2019-06-30,5040
Poverty,2019-06-30,2206
Healthcare,2019-06-30,6946
Economic Inequality,2019-06-30,1830
Civil Rights & Discrimination,2019-06-30,45141
Labor Rights ,2019-06-30,426
Education & Student Debt,2019-06-30,12589
Economy,2019-07-01,12514
Climate and Energy,2019-07-01,4188
Defense,2019-07-01,4915
Taxes,2019-07-01,4012
Poverty,2019-07-01,1379
Healthcare,2019-07-01,8476
Economic Inequality,2019-07-01,978
Civil Rights & Discrimination,2019-07-01,17705
Labor Rights ,2019-07-01,802
Education & Student Debt,2019-07-01,8150
Economy,2019-07-02,12238
Climate and Energy,2019-07-02,1755
Defense,2019-07-02,3937
Taxes,2019-07-02,6746
Poverty,2019-07-02,2733
Healthcare,2019-07-02,10407
Economic Inequality,2019-07-02,1504
Civil Rights & Discrimination,2019-07-02,12037
Labor Rights ,2019-07-02,978
Education & Student Debt,2019-07-02,5341
Economy,2019-07-03,9228
Climate and Energy,2019-07-03,2532
Defense,2019-07-03,5818
Taxes,2019-07-03,4539
Poverty,2019-07-03,1805
Healthcare,2019-07-03,6420
Economic Inequality,2019-07-03,827
Civil Rights & Discrimination,2019-07-03,10633
Labor Rights ,2019-07-03,1956
Education & Student Debt,2019-07-03,4363
Economy,2019-07-04,5040
Climate and Energy,2019-07-04,1379
Defense,2019-07-04,6645
Taxes,2019-07-04,2708
Poverty,2019-07-04,2206
Healthcare,2019-07-04,4815
Economic Inequality,2019-07-04,576
Civil Rights & Discrimination,2019-07-04,6570
Labor Rights ,2019-07-04,877
Education & Student Debt,2019-07-04,5291
Economy,2019-07-05,12940
Climate and Energy,2019-07-05,10106
Defense,2019-07-05,10031
Taxes,2019-07-05,3987
Poverty,2019-07-05,2156
Healthcare,2019-07-05,19360
Economic Inequality,2019-07-05,2257
Civil Rights & Discrimination,2019-07-05,10758
Labor Rights ,2019-07-05,802
Education & Student Debt,2019-07-05,16677
Economy,2019-07-06,8225
Climate and Energy,2019-07-06,4012
Defense,2019-07-06,12789
Taxes,2019-07-06,8827
Poverty,2019-07-06,2056
Healthcare,2019-07-06,10282
Economic Inequality,2019-07-06,5141
Civil Rights & Discrimination,2019-07-06,10006
Labor Rights ,2019-07-06,802
Education & Student Debt,2019-07-06,14470
Economy,2019-07-07,9630
Climate and Energy,2019-07-07,2833
Defense,2019-07-07,8702
Taxes,2019-07-07,21492
Poverty,2019-07-07,1404
Healthcare,2019-07-07,7297
Economic Inequality,2019-07-07,1630
Civil Rights & Discrimination,2019-07-07,8877
Labor Rights ,2019-07-07,727
Education & Student Debt,2019-07-07,17053
Economy,2019-07-08,14921
Climate and Energy,2019-07-08,10733
Defense,2019-07-08,3736
Taxes,2019-07-08,7573
Poverty,2019-07-08,1755
Healthcare,2019-07-08,4990
Economic Inequality,2019-07-08,2181
Civil Rights & Discrimination,2019-07-08,14721
Labor Rights ,2019-07-08,1003
Education & Student Debt,2019-07-08,12363
Economy,2019-07-09,17579
Climate and Energy,2019-07-09,22470
Defense,2019-07-09,2532
Taxes,2019-07-09,10257
Poverty,2019-07-09,2382
Healthcare,2019-07-09,17780
Economic Inequality,2019-07-09,2934
Civil Rights & Discrimination,2019-07-09,16225
Labor Rights ,2019-07-09,2307
Education & Student Debt,2019-07-09,8727
Economy,2019-07-10,13316
Climate and Energy,2019-07-10,14294
Defense,2019-07-10,1805
Taxes,2019-07-10,7999
Poverty,2019-07-10,1855
Healthcare,2019-07-10,5793
Economic Inequality,2019-07-10,3711
Civil Rights & Discrimination,2019-07-10,10633
Labor Rights ,2019-07-10,4087
Education & Student Debt,2019-07-10,7373
Economy,2019-07-11,9003
Climate and Energy,2019-07-11,5366
Defense,2019-07-11,9755
Taxes,2019-07-11,7448
Poverty,2019-07-11,1354
Healthcare,2019-07-11,5617
Economic Inequality,2019-07-11,3761
Civil Rights & Discrimination,2019-07-11,14194
Labor Rights ,2019-07-11,2708
Education & Student Debt,2019-07-11,3410
Economy,2019-07-12,6144
Climate and Energy,2019-07-12,2081
Defense,2019-07-12,5667
Taxes,2019-07-12,3410
Poverty,2019-07-12,1454
Healthcare,2019-07-12,3887
Economic Inequality,2019-07-12,1805
Civil Rights & Discrimination,2019-07-12,12639
Labor Rights ,2019-07-12,1178
Education & Student Debt,2019-07-12,4188
Economy,2019-07-13,3736
Climate and Energy,2019-07-13,1931
Defense,2019-07-13,3962
Taxes,2019-07-13,3836
Poverty,2019-07-13,1028
Healthcare,2019-07-13,9153
Economic Inequality,2019-07-13,652
Civil Rights & Discrimination,2019-07-13,7047
Labor Rights ,2019-07-13,501
Education & Student Debt,2019-07-13,4639
Economy,2019-07-14,5642
Climate and Energy,2019-07-14,6821
Defense,2019-07-14,3184
Taxes,2019-07-14,2106
Poverty,2019-07-14,1078
Healthcare,2019-07-14,5793
Economic Inequality,2019-07-14,927
Civil Rights & Discrimination,2019-07-14,25855
Labor Rights ,2019-07-14,1278
Education & Student Debt,2019-07-14,5742
Economy,2019-07-15,7548
Climate and Energy,2019-07-15,4137
Defense,2019-07-15,4188
Taxes,2019-07-15,2984
Poverty,2019-07-15,1630
Healthcare,2019-07-15,35912
Economic Inequality,2019-07-15,626
Civil Rights & Discrimination,2019-07-15,21040
Labor Rights ,2019-07-15,2257
Education & Student Debt,2019-07-15,6269
Economy,2019-07-16,7849
Climate and Energy,2019-07-16,2708
Defense,2019-07-16,2307
Taxes,2019-07-16,3260
Poverty,2019-07-16,1278
Healthcare,2019-07-16,21968
Economic Inequality,2019-07-16,551
Civil Rights & Discrimination,2019-07-16,32451
Labor Rights ,2019-07-16,1354
Education & Student Debt,2019-07-16,3335
Economy,2019-07-17,7573
Climate and Energy,2019-07-17,3285
Defense,2019-07-17,8100
Taxes,2019-07-17,5040
Poverty,2019-07-17,3059
Healthcare,2019-07-17,31774
Economic Inequality,2019-07-17,451
Civil Rights & Discrimination,2019-07-17,30219
Labor Rights ,2019-07-17,1655
Education & Student Debt,2019-07-17,2808
Economy,2019-07-18,13667
Climate and Energy,2019-07-18,2708
Defense,2019-07-18,3260
Taxes,2019-07-18,4338
Poverty,2019-07-18,3962
Healthcare,2019-07-18,14695
Economic Inequality,2019-07-18,576
Civil Rights & Discrimination,2019-07-18,27686
Labor Rights ,2019-07-18,13943
Education & Student Debt,2019-07-18,1931
Economy,2019-07-19,17454
Climate and Energy,2019-07-19,6595
Defense,2019-07-19,2432
Taxes,2019-07-19,6344
Poverty,2019-07-19,5592
Healthcare,2019-07-19,8877
Economic Inequality,2019-07-19,2156
Civil Rights & Discrimination,2019-07-19,14871
Labor Rights ,2019-07-19,12087
Education & Student Debt,2019-07-19,5592
Economy,2019-07-20,12965
Climate and Energy,2019-07-20,8451
Defense,2019-07-20,1956
Taxes,2019-07-20,4288
Poverty,2019-07-20,5291
Healthcare,2019-07-20,8677
Economic Inequality,2019-07-20,2181
Civil Rights & Discrimination,2019-07-20,9454
Labor Rights ,2019-07-20,4363
Education & Student Debt,2019-07-20,8275
Economy,2019-07-21,14595
Climate and Energy,2019-07-21,7949
Defense,2019-07-21,1429
Taxes,2019-07-21,3285
Poverty,2019-07-21,3310
Healthcare,2019-07-21,11360
Economic Inequality,2019-07-21,8125
Civil Rights & Discrimination,2019-07-21,20438
Labor Rights ,2019-07-21,20438
Education & Student Debt,2019-07-21,4915
Economy,2019-07-22,16752
Climate and Energy,2019-07-22,2557
Defense,2019-07-22,5542
Taxes,2019-07-22,4188
Poverty,2019-07-22,2783
Healthcare,2019-07-22,12764
Economic Inequality,2019-07-22,1905
Civil Rights & Discrimination,2019-07-22,24702
Labor Rights ,2019-07-22,10206
Education & Student Debt,2019-07-22,10708
Economy,2019-07-23,16175
Climate and Energy,2019-07-23,4564
Defense,2019-07-23,11335
Taxes,2019-07-23,21291
Poverty,2019-07-23,7724
Healthcare,2019-07-23,6946
Economic Inequality,2019-07-23,5442
Civil Rights & Discrimination,2019-07-23,19836
Labor Rights ,2019-07-23,5141
Education & Student Debt,2019-07-23,13141
Economy,2019-07-24,8376
Climate and Energy,2019-07-24,1278
Defense,2019-07-24,6495
Taxes,2019-07-24,5341
Poverty,2019-07-24,5166
Healthcare,2019-07-24,4739
Economic Inequality,2019-07-24,2031
Civil Rights & Discrimination,2019-07-24,7473
Labor Rights ,2019-07-24,5893
Education & Student Debt,2019-07-24,5241
Economy,2019-07-25,7172
Climate and Energy,2019-07-25,4087
Defense,2019-07-25,2382
Taxes,2019-07-25,2733
Poverty,2019-07-25,5015
Healthcare,2019-07-25,5492
Economic Inequality,2019-07-25,576
Civil Rights & Discrimination,2019-07-25,6620
Labor Rights ,2019-07-25,2633
Education & Student Debt,2019-07-25,5492
Economy,2019-07-26,14495
Climate and Energy,2019-07-26,3184
Defense,2019-07-26,3184
Taxes,2019-07-26,4564
Poverty,2019-07-26,2758
Healthcare,2019-07-26,10658
Economic Inequality,2019-07-26,551
Civil Rights & Discrimination,2019-07-26,8952
Labor Rights ,2019-07-26,1605
Education & Student Debt,2019-07-26,6420
Economy,2019-07-27,7724
Climate and Energy,2019-07-27,3385
Defense,2019-07-27,2181
Taxes,2019-07-27,3009
Poverty,2019-07-27,1805
Healthcare,2019-07-27,6695
Economic Inequality,2019-07-27,601
Civil Rights & Discrimination,2019-07-27,23899
Labor Rights ,2019-07-27,2081
Education & Student Debt,2019-07-27,5015
Economy,2019-07-28,11636
Climate and Energy,2019-07-28,2608
Defense,2019-07-28,2833
Taxes,2019-07-28,7272
Poverty,2019-07-28,1780
Healthcare,2019-07-28,9429
Economic Inequality,2019-07-28,677
Civil Rights & Discrimination,2019-07-28,36890
Labor Rights ,2019-07-28,2457
Education & Student Debt,2019-07-28,11385
Economy,2019-07-29,11310
Climate and Energy,2019-07-29,4313
Defense,2019-07-29,3084
Taxes,2019-07-29,6846
Poverty,2019-07-29,4438
Healthcare,2019-07-29,14645
Economic Inequality,2019-07-29,5090
Civil Rights & Discrimination,2019-07-29,69241
Labor Rights ,2019-07-29,3736
Education & Student Debt,2019-07-29,7548
Economy,2019-07-30,48275
Climate and Energy,2019-07-30,24476
Defense,2019-07-30,11686
Taxes,2019-07-30,44739
Poverty,2019-07-30,8978
Healthcare,2019-07-30,100714
Economic Inequality,2019-07-30,11962
Civil Rights & Discrimination,2019-07-30,64426
Labor Rights ,2019-07-30,12338
Education & Student Debt,2019-07-30,39172
Economy,2019-07-31,79347
Climate and Energy,2019-07-31,42457
Defense,2019-07-31,13241
Taxes,2019-07-31,55097
Poverty,2019-07-31,11536
Healthcare,2019-07-31,118244
Economic Inequality,2019-07-31,25805
Civil Rights & Discrimination,2019-07-31,72626
Labor Rights ,2019-07-31,11285
Education & Student Debt,2019-07-31,44815
Economy,2019-08-01,35460
Climate and Energy,2019-08-01,41128
Defense,2019-08-01,11109
Taxes,2019-08-01,14169
Poverty,2019-08-01,5090
Healthcare,2019-08-01,34758
Economic Inequality,2019-08-01,9228
Civil Rights & Discrimination,2019-08-01,45567
Labor Rights ,2019-08-01,3159
Education & Student Debt,2019-08-01,10131
Economy,2019-08-02,20112
Climate and Energy,2019-08-02,14796
Defense,2019-08-02,24952
Taxes,2019-08-02,10457
Poverty,2019-08-02,4915
Healthcare,2019-08-02,16777
Economic Inequality,2019-08-02,1203
Civil Rights & Discrimination,2019-08-02,17630
Labor Rights ,2019-08-02,4689
Education & Student Debt,2019-08-02,6670
Economy,2019-08-03,14420
Climate and Energy,2019-08-03,6018
Defense,2019-08-03,13517
Taxes,2019-08-03,4664
Poverty,2019-08-03,3235
Healthcare,2019-08-03,8927
Economic Inequality,2019-08-03,1479
Civil Rights & Discrimination,2019-08-03,9755
Labor Rights ,2019-08-03,7473
Education & Student Debt,2019-08-03,16501
Economy,2019-08-04,7423
Climate and Energy,2019-08-04,3159
Defense,2019-08-04,10708
Taxes,2019-08-04,1554
Poverty,2019-08-04,2407
Healthcare,2019-08-04,5567
Economic Inequality,2019-08-04,1078
Civil Rights & Discrimination,2019-08-04,13818
Labor Rights ,2019-08-04,927
Education & Student Debt,2019-08-04,9053
Economy,2019-08-05,8025
Climate and Energy,2019-08-05,2608
Defense,2019-08-05,3561
Taxes,2019-08-05,2006
Poverty,2019-08-05,1003
Healthcare,2019-08-05,13567
Economic Inequality,2019-08-05,677
Civil Rights & Discrimination,2019-08-05,24025
Labor Rights ,2019-08-05,351
Education & Student Debt,2019-08-05,3561
Economy,2019-08-06,21366
Climate and Energy,2019-08-06,2583
Defense,2019-08-06,2156
Taxes,2019-08-06,2432
Poverty,2019-08-06,1379
Healthcare,2019-08-06,12714
Economic Inequality,2019-08-06,1579
Civil Rights & Discrimination,2019-08-06,19536
Labor Rights ,2019-08-06,526
Education & Student Debt,2019-08-06,8351
Economy,2019-08-07,8952
Climate and Energy,2019-08-07,8025
Defense,2019-08-07,1630
Taxes,2019-08-07,7523
Poverty,2019-08-07,2206
Healthcare,2019-08-07,14144
Economic Inequality,2019-08-07,752
Civil Rights & Discrimination,2019-08-07,37040
Labor Rights ,2019-08-07,727
Education & Student Debt,2019-08-07,10583
Economy,2019-08-08,8626
Climate and Energy,2019-08-08,4764
Defense,2019-08-08,2758
Taxes,2019-08-08,7172
Poverty,2019-08-08,2934
Healthcare,2019-08-08,9003
Economic Inequality,2019-08-08,3009
Civil Rights & Discrimination,2019-08-08,24025
Labor Rights ,2019-08-08,952
Education & Student Debt,2019-08-08,7749
Economy,2019-08-09,8802
Climate and Energy,2019-08-09,3285
Defense,2019-08-09,1855
Taxes,2019-08-09,5341
Poverty,2019-08-09,11335
Healthcare,2019-08-09,13492
Economic Inequality,2019-08-09,1981
Civil Rights & Discrimination,2019-08-09,42206
Labor Rights ,2019-08-09,2056
Education & Student Debt,2019-08-09,10407
Economy,2019-08-10,13166
Climate and Energy,2019-08-10,65529
Defense,2019-08-10,4363
Taxes,2019-08-10,11310
Poverty,2019-08-10,4388
Healthcare,2019-08-10,8075
Economic Inequality,2019-08-10,802
Civil Rights & Discrimination,2019-08-10,19761
Labor Rights ,2019-08-10,1203
Education & Student Debt,2019-08-10,6896
Economy,2019-08-11,12112
Climate and Energy,2019-08-11,100539
Defense,2019-08-11,9655
Taxes,2019-08-11,13818
Poverty,2019-08-11,2106
Healthcare,2019-08-11,9253
Economic Inequality,2019-08-11,2432
Civil Rights & Discrimination,2019-08-11,31147
Labor Rights ,2019-08-11,2106
Education & Student Debt,2019-08-11,6545
Economy,2019-08-12,15824
Climate and Energy,2019-08-12,30394
Defense,2019-08-12,2909
Taxes,2019-08-12,14746
Poverty,2019-08-12,3485
Healthcare,2019-08-12,11335
Economic Inequality,2019-08-12,1228
Civil Rights & Discrimination,2019-08-12,18884
Labor Rights ,2019-08-12,1379
Education & Student Debt,2019-08-12,11485
Economy,2019-08-13,29943
Climate and Energy,2019-08-13,18658
Defense,2019-08-13,2583
Taxes,2019-08-13,16827
Poverty,2019-08-13,2934
Healthcare,2019-08-13,5341
Economic Inequality,2019-08-13,1755
Civil Rights & Discrimination,2019-08-13,33203
Labor Rights ,2019-08-13,1128
Education & Student Debt,2019-08-13,9755
Economy,2019-08-14,24200
Climate and Energy,2019-08-14,10432
Defense,2019-08-14,2658
Taxes,2019-08-14,12288
Poverty,2019-08-14,2181
Healthcare,2019-08-14,3811
Economic Inequality,2019-08-14,1228
Civil Rights & Discrimination,2019-08-14,19084
Labor Rights ,2019-08-14,3034
Education & Student Debt,2019-08-14,4815
Economy,2019-08-15,14570
Climate and Energy,2019-08-15,14771
Defense,2019-08-15,6244
Taxes,2019-08-15,5291
Poverty,2019-08-15,1830
Healthcare,2019-08-15,6896
Economic Inequality,2019-08-15,2583
Civil Rights & Discrimination,2019-08-15,25404
Labor Rights ,2019-08-15,3586
Education & Student Debt,2019-08-15,3460
Economy,2019-08-16,13868
Climate and Energy,2019-08-16,22871
Defense,2019-08-16,9429
Taxes,2019-08-16,6094
Poverty,2019-08-16,1730
Healthcare,2019-08-16,6119
Economic Inequality,2019-08-16,1429
Civil Rights & Discrimination,2019-08-16,9454
Labor Rights ,2019-08-16,2633
Education & Student Debt,2019-08-16,8727
Economy,2019-08-17,12363
Climate and Energy,2019-08-17,10984
Defense,2019-08-17,8426
Taxes,2019-08-17,7423
Poverty,2019-08-17,1253
Healthcare,2019-08-17,5943
Economic Inequality,2019-08-17,1053
Civil Rights & Discrimination,2019-08-17,30520
Labor Rights ,2019-08-17,2081
Education & Student Debt,2019-08-17,6695
Economy,2019-08-18,10482
Climate and Energy,2019-08-18,4213
Defense,2019-08-18,4840
Taxes,2019-08-18,5291
Poverty,2019-08-18,4940
Healthcare,2019-08-18,6169
Economic Inequality,2019-08-18,3661
Civil Rights & Discrimination,2019-08-18,30018
Labor Rights ,2019-08-18,927
Education & Student Debt,2019-08-18,5090
Economy,2019-08-19,26984
Climate and Energy,2019-08-19,8275
Defense,2019-08-19,3360
Taxes,2019-08-19,6194
Poverty,2019-08-19,3711
Healthcare,2019-08-19,10257
Economic Inequality,2019-08-19,3385
Civil Rights & Discrimination,2019-08-19,11611
Labor Rights ,2019-08-19,1755
Education & Student Debt,2019-08-19,17655
Economy,2019-08-20,17153
Climate and Energy,2019-08-20,6846
Defense,2019-08-20,3862
Taxes,2019-08-20,6746
Poverty,2019-08-20,2257
Healthcare,2019-08-20,17329
Economic Inequality,2019-08-20,1981
Civil Rights & Discrimination,2019-08-20,9203
Labor Rights ,2019-08-20,1329
Education & Student Debt,2019-08-20,8100
Economy,2019-08-21,21542
Climate and Energy,2019-08-21,10056
Defense,2019-08-21,2432
Taxes,2019-08-21,5416
Poverty,2019-08-21,2532
Healthcare,2019-08-21,9579
Economic Inequality,2019-08-21,1630
Civil Rights & Discrimination,2019-08-21,11661
Labor Rights ,2019-08-21,13818
Education & Student Debt,2019-08-21,3786
Economy,2019-08-22,30495
Climate and Energy,2019-08-22,61768
Defense,2019-08-22,2808
Taxes,2019-08-22,11460
Poverty,2019-08-22,5717
