document,topic,gamma,text
170,1,0.991264347,But guess what? Of the 160 million people who like their health care now they can keep it. If they don't like it they can leave. Number one.
180,1,0.995772669, I know a lot about cancer let me tell you something. It's personal to me. Let me tell you something. Every single person who is diagnosed with cancer or any other disease can automatically become part of this plan. They will not go bankrupt because of that. They will not go bankrupt because of that. They can join immediately.
191,1,0.995772669,The fact of the matter is that what's happened is that we're in a situation now where there are so many people who are in jail and shouldn't be in jail. The whole means by which this should change is the whole model has to change. We should be talking about rehabilitation.
201,1,0.994004598,So the point is things have changed. And things have changed a lot. And now what's happening is ' and by the way the way Beto handled ' excuse me for saying Beto. What the congressman
231,1,0.989694234,You want ICE the agency in charge of rounding up undocumented immigrants.
247,1,0.996315899, Well they have to deal with the ' look there's institutional segregation in this country. And from the time I got involved I started dealing with that. Redlining banks making sure that we are in a position where ' look you talk about education. I propose that what we take is those very poor schools
258,1,0.997069151,And so I was raised to believe that that was the center of everything family and could be judged on based how you treatment your family and how you went from there. And I ' it took ' you know Kierkegaard said faith sees best in the dark. Right after I got elected my wife and daughter were killed in an automobile accident and my two sons were badly injured. And I just had been elected
265,1,0.994004598,And what I wanted to make a point about ' and my son's statement speaks for itself. He spoke about it today. My son's statement speaks for itself. What I think is important is we focus on why it's so important to remove this man from office.
273,1,0.99241929,And we talk about how we're going to pay for it. The study recently came out showing that in fact it will reduce costs. But for people making between $50000 and $75000 a year their taxes are going to go up about $5
278,1,0.993304504,Secondly  I mean thirdly what we need to do is we need to go out and make it clear to the American people that we are going to  we are going to raise taxes on the wealthy. We're going to reduce tax burdens on those who are not.
281,1,0.64358341, No one is supporting billionaires.
283,1,0.997665732,It has been the most shameful thing that any president has done in modern history  excuse me in terms of foreign policy. And the fact of the matter is I've never seen a time  and I've spent thousands of hours in the Situation Room I've spent many hours on the ground in those very places in Syria and in Iraq and guess what? Our commanders across the board
295,1,0.994004598,I'm the only one that got  got  moved the  to make sure that we could not have a magazine that had more than 10 rounds in it. I've done this. I know how to get it done. If you really want to get it done go after the gun manufacturers and take back the exemption they have of not being able to be sued. That would change it.
322,1,0.987436035, This is reassuring in the fact that we're all acknowledging that we have to reach across the aisle get things done. No other way to get anything done in this country.
324,1,0.996062934,"And on his death bed he asked me to do his eulogy. John I would say to John ""John you didn't see a war you never wanted to fight."" And he'd say ""You didn't see a problem you never wanted to solve."" But he was a great man of principle. He was honorable. He was honorable."
326,1,0.995772669,Secondly we have to rebuild the middle class. The only way we're going to do that is to be able to reach across the aisle. My dad used to say a job is about a lot more than a paycheck Joey. It's about your dignity. We have to restore people's dignity.
352,1,0.989694234, Yes and I said it at the time. Khashoggi was in fact murdered and dismembered and I believe on the order of the crown prince. And I would make it very clear we were not going to in fact
372,1,0.996062934, Well I don't think they really do like the economy. Go back and talk to the old neighborhoods and middleclass neighborhoods you grew up in. The middle class is getting killed. The middle class is getting crushed. And the working class has no way up as a consequence of that.
374,1,0.997458827,The middle class is not as behind the eight ball. We have to make sure that they have an even shot. We have to eliminate a significant number of these godawful tax cuts that were given to the very wealthy. We have to invest in education. We have to invest in health care. We have to invest in those things that make a difference in the lives of middleclass people so they can maintain their standard of living.
375,1,0.995041532,That's not being done. And the idea that we're growing  we're not growing. The wealthy very wealthy are growing. Ordinary people are not growing. They are not happy with where they are. And that's why we must change this presidency now.
409,1,0.991264347,Number two the idea that the senator suggested that I am in the pocket of billionaires when in fact they oppose everything that I have ever done and continue to do
415,1,0.994004598,They are the future of America and we should invest in them. Everybody will benefit from it every single American. And you should get used to it. This is a nation of immigrants. That's who we are. That's why we're who we are. That's what makes us different. And we should invest in them.
433,1,0.977634638, It's going to increase personal taxes. There are going to be
436,1,0.994572145,My wife and I have a call list of somewhere between 20 and 100 people that we call at least every week or every month to tell them I'm here. I give them my private phone number. They keep in touch with me.
1,2,0.995041532,What I meant by that is look Donald Trump thinks Wall Street built America. Ordinary middleclass Americans built America.
7,2,0.991264347,And so folks there's a lot we can do but we have to make continuing education available for everyone so that everyone can compete in the 21st century. We're not doing that now.
17,2,0.996062934,What they're doing paying doctors to prescribe. We should'we could be doing this by making sure everyone who is on Medicare'that the government should be able to negotiate the price for what'whatever the drug costs are. We can do this by making sure that we're in a position that we in fact allow people'you mean time's up?
19,2,0.997340982,Second thing we have to do the law now requires the reuniting of those families. We would reunite those families period and if not we would put those children in a circumstance where they were safe until we could find their parents. And lastly the idea that he is in court with his Justice Department saying children in cages do not need a bed do not need a blanket do not need a toothbrush'
24,2,0.997340982,That's a mischaracterization of my position across the board. I did not praise racists. That is not true number one. Number two if we want to have this campaign litigated on who supports civil rights and whether I did or not I'm happy to do that. I was a public defender. I didn't become a prosecutor. I came out and I left a good law firm to become a public defender when in fact '
53,2,0.997665732,Thank you very much. I am running to leave this country because I think it is important we restore the soul of this nation. This President has ripped it out. He is the only President in our history who has equated racist and'and white supremacist with ordinary decent people. He is the only President who is that in engaged and embraced dictators and thumb their nose at our allies.
55,2,0.996062934,Lastly we've got to unite the United States of America as much as anybody says we can't. If we do there's not a single thing the American people can't do. This is the United States of America. We can do anything if we're together together. So God bless you all and may God protect our troops.
66,2,0.99756667, My response is Obamacare is working. The way to build this and get to it immediately is to build on Obamacare. Go back and do  take back all the things that Trump took away provide a public option meaning every single person in America would be able to buy into that option if they didn't like their employer plan or if they're on Medicaid they'd automatically be in the plan.
94,2,0.997211676,This country can tolerate a heck of a lot more people. And the reason we're the country we are is we've been able to cherry pick from the best of every culture. Immigrants built this country. That's why we're so special. It took courage. It took resilience. It took absolutely confidence for them to come. And we should be encouraging these people.
98,2,0.993304504, I was vice president. I am not the president. I keep my recommendation to him in private. Unlike you I can expect you would go ahead and say whatever was said privately with him. That is not what I do.
99,2,0.983910504,What I do say to you is he moved to fundamentally change the system. That's what he did. That's who did. But much more has to be done. Much more has to be done.
100,2,0.989694234, The fact is that's what I said about this country. We are a country of immigrants. All of us. All of us. Some here came against their will; others came because they in fact thought they could fundamentally change their lives. And they did.
102,2,0.989694234, Well I don't  I think he is wrong. I think we should work together. He has a similar plan. I think that we should change the way we look at prisons.
143,2,0.989694234,As a single father who in fact raised three children for five years by myself I have some idea what it cost.
163,2,0.997665732,Look this is the United States of America. There has never been a single solitary time when we've set our mind to something we've been unable to do it. We're walking around with our heads down like woe is me. We're the bestequipped nation in the world to take this on. It's no longer time to postpone. We should get moving. There's enormous enormous opportunities once we get rid of Donald Trump.
174,2,0.898283932, This is America.
179,2,0.99241929, Well let me tell you something. For a socialist you've got ' for a socialist you've got a lot more confidence in corporate America than I do.
199,2,0.996735411,There has been a sea change. Those proposals I put forward for the president had over 50 percent of gun ' of gun ' of members of the NRA supporting them and overwhelmingly the rest of the people supporting them. Now the numbers are much higher because they realize what I've been saying and we've all been saying is correct.
203,2,0.983910504, to understand those parents you understand the heartache.
220,2,0.963331876, The president did the best thing that was able to be done at the time.
232,2,0.995436198,So how would you deal with the millions of immigrants who arrive legally but overstay their visas? And how would you stop hundreds of thousands of Central Americans who want to migrate to the U.S.?
242,2,0.898283932,I said something that was not meant the way I said it.
276,2,0.996735411,I would double it because guess what? Why in God's name should someone who's clipping coupons in the stock market make  in fact pay a lower tax rate than someone who in fact is  like I said  the  a schoolteacher and a firefighter? It's ridiculous. And they pay a lower tax.
327,2,0.996315899,And lastly we have to unite the country because folks it's time we stopped walking around with our heads down. We are better positioned than any country in the world to own the 21st century. So for god's sake get up. Get up and remember
354,2,0.996735411,And with regard to China we should  look unless we make it clear that we stand for human rights we should be going to the United Nations seeking condemnation of China what they're doing with the million Uighurs that are there essentially in concentration camps in the west. We should be vocally
356,2,0.996062934,The fact is that what happens now is that we in fact have to fundamentally change the culture the culture of how women are treated. That's why as vice president  and when I asked the president I could start the movement on the college campuses to say it's on us. It's everyone's responsibility.
358,2,0.997458827,And that's when we started this movement on the college campuses to fundamentally change the culture. No man has a right to raise a hand to a woman in anger other than in selfdefense and that's  rarely ever occurs. And so we have to just change the culture period and keep punching at it and punching at it and punching at it. It will be a big  no I really mean it. It's a gigantic issue. And we have to make it clear from the top
367,2,0.99756667,Folks we are in a position where we have  we're the wealthiest nation in the world our workers are more productive than workers around the world three times as productive as workers in Asia. We have more great research universities that the people own than all the rest of the world combined. We're in a position where we've led not by the example of our power but by the power of our example.
368,2,0.995041532,I'm so tired of everybody walking around like woe is me what are we going to do? Let's remember this is the United States of America. There has never ever ever been a time when we have set our mind to do something we've been unable to do it. Never. Never never.
369,2,0.989694234,So it's time to remember get up let's take back this country and lead the world again. It's within our power to do it. Get up and take it back.
388,2,0.898283932,And lastly I think that
413,2,0.995041532, Look let me  since I haven't spoken on this I've got a chance. Number one the reason we're the country we are is because of immigration. We've been able to cherry pick the best from every single continent.
418,2,0.99691127,Rebuilding that country as a whole nation is beyond our capacity. I argued from the very beginning that we should have a policy that was based on an antiterrorism policy with a very small footprint that in fact only had special forces to deal with potential threats from that territory to the United States of America.
419,2,0.997211676,The first thing I would do as president of the United States of America is to make sure that we brought all combat troops home entered into a negotiation with the Taliban. But I would leave behind special forces in small numbers to be able to deal with the potential threat unless we got a real good negotiation accomplished to deal with terrorism.
428,2,0.898283932, That's not true.
443,2,0.987436035,God bless you all and may you have a great great holiday season. And thank you guys for doing this as well.
2,3,0.996735411,My dad used to have an expression he said Joe a job is about a lot more than a paycheck; it's about your dignity it's about respect it's being able to look your kid in the eye and say everything's going to be okay. Too many people who are in the middle class and poor have had the bottom fall out under this proposal.
48,3,0.996062934,And lastly we should have smart guns. No gun should be able to be sold unless your biometric measure could pull that trigger. It's within our right to do that. We can do that. Our enemy is the gun manufacturers not the NRA the gun manufacturers.
56,3,0.987436035, Tonight I think Democrats are expecting some engagement here. And I expect we'll get it.
57,3,0.996315899,I'm running for president to restore the soul of this country. You know we have a president as everybody has acknowledged here every day is ripping at the social fabric of this country but no one man has the capacity to rip that apart. It's too strong. We're too good.
64,3,0.991264347, The plan no matter how you cut it costs $3 trillion when it is in fact employed number one. Ten years from now
68,3,0.99241929,In the meantime what happens? Did anybody tell you how much their plans cost? My plan costs $750 billion. That's what it costs. Not $30 trillion.
79,3,0.977634638,They are misrepresenting to the American people what needs to be done.
113,3,0.989694234, We did a lot. Number one we made sure we reduced the federal prison population by 38000 people number one.
120,3,0.996538319, There is no middle ground about my plan. The fact of the matter is I call for the immediate action to be taken. First of all one of the things that  we're responsible for 15 percent of all the pollution in the country. He's right about how it affects people and it affects neighborhoods particularly poor neighborhoods
127,3,0.995436198,We will double offshore wind. We will end any subsidies for coal or any other fossil fuel. But we have to also engage the world while we're doing it. We have to walk and chew gum at the same time.
128,3,0.983910504, No we would  we would work it out. We would make sure it's eliminated and no more subsidies for either one of those either  any fossil fuel.
139,3,0.898283932,The answer is yes.
148,3,0.996062934,You came to Syracuse University with me and said it was wonderful. I'm passionate about the concern making sure women are treated equally. I don't know what's happened except that you're now running for president.
150,3,0.993304504, The fact is that the senator knows that that's not position. Everybody on this stage has been in the Congress and the Senate or House has voted for the Hyde Amendment at some point.
166,3,0.99756667,Number two I think we should be in a position of taking a look at what costs are. My plan for health care costs a lot of money. It costs $740 billion. It doesn't cost $30 trillion $3.4 trillion a year it turns out is twice what the entire federal budget is. That's before ' exists now without interest on the debt. How are we going to pay for it? I want to hear that tonight how that's happened.
167,3,0.993304504,Thus far my distinguished friend the senator on my left has not indicated how she pays for it. And the senator has in fact come forward and said how he's going to pay for it
202,3,0.991264347, The way he handled what happened in his hometown is meaningful to look in the eyes of those people to see those kids
207,3,0.977634638, Let's be constitutional. We've got a Constitution.
240,3,0.994572145,We don't need those troops there. I would bring them home. And Joe Dunford's a fine guy but this has been an internal argument we've had for eight years.
264,3,0.994572145, Look my son did nothing wrong. I did nothing wrong. I carried out the policy of the United States government in rooting out corruption in Ukraine. And that's what we should be focusing on.
268,3,0.963331876, Anderson ' Anderson â€¦
272,3,0.996062934,But here's the deal. On the single most important thing facing the American public I think it's awfully important to be straightforward with them. The plan is going to cost at least $30 trillion over 10 years. That is more on a yearly basis than the entire federal budget.
279,3,0.997069151,And this is one of the reasons why these debates are kind of crazy because everybody tries to squeeze everything into every answer that is given. The fact is everybody's right about the fact that the fourth industrial revolution is costing jobs. It is. The fact is also corporate greed is they're going back and not investing in our employees they're reinvesting and buying back their stock.
284,3,0.996315899,What I would do is I would be making it real clear to Assad that in fact where he's going to have a problem  because Turkey is the real problem here. And I would be having a real lockdown conversation with Erdogan and letting him know that he's going to pay a heavy price for what he has done now. Pay that price.
308,3,0.996315899, Well I think their vision is attracting a lot of people and I think a lot of what they have to say is really important. But you know Senator Warren said we can't be running any vague campaigns. We've got to level with people. We've got to level with people and tell them exactly what we're going to do how we're going to get it done
309,3,0.997069151,I'm going to say something that is probably going to offend some people here but I'm the only one on this stage that has gotten anything really big done from the Violence Against Women Act to making sure that we pass the Affordable Care Act to being in a position where we in fact took almost a $90 billion act that kept us from going into a depression making us  putting us in a position where I was able to end roe  excuse me
310,3,0.996538319,And so the question is who is best prepared? We all have good ideas. The question is who is going to be able to get it done? How can you get it done? And I'm not suggesting they can't but I'm suggesting that that's what we should look at. And part of that requires you not being vague. Tell people what it's going to cost how you're going to do it and why you're going to do it. That's the way to get it done. Presidents are supposed to be able to persuade.
311,3,0.996538319, Well the senator said  she's being vague on the issue of  actually both are being vague on the issue of Medicare for all. No look here's the deal. Come on. It costs $30 trillion. Guess what? That's over $3 trillion  it's more than the entire federal budget  let me finish OK?
316,3,0.898283932, By the way the greed and
325,3,0.996735411,And one of the things  that's the reason why I'm running. We have to restore the soul of this country. That's why I'm doing this. In fact this president has ripped the soul out of this country divided us in ways that are absolutely outrageous. A liar he cheats he does not do anything to promote people generally.
329,3,0.993304504,You have to ask yourself up here who is most likely to be able to win the nomination in the first place to win the presidency in the first place? And secondly who is most likely to increase the number of people who are Democrats in the House and in the Senate?
332,3,0.993304504, Who is most likely to do what needs to be done produce a Democratic majority in the United States Senate maintain the House and beat Trump?
334,3,0.995772669, It couldn't pass the United States Senate right now with Democrats. It couldn't pass the House. Nancy Pelosi is one of those people who doesn't think it makes sense.
337,3,0.997458827, I think a woman is qualified to be president and there's no reason why  if you think the woman is the most qualified person now you should vote for them. The reason why I think I should be president and be the nominee is number one I have brought people together my entire career. In the United States Senate I've passed more major legislation than everybody on this stage combined
340,3,0.99691127, Look I would not direct my Justice Department like this president does. I'd let them make their independent judgment. I would not dictate who should be prosecuted or who should be exonerated. That's not the role of the president of the United States. It's the attorney general of the United States not the president's attorney private attorney.
343,3,0.994572145,Look it's just  look it's about civility. We have to restore the soul of this country. And that's not who we are that's not who we've been that's not who we should be. Follow the law let the Justice Department make the judgment as to whether or not someone should be prosecuted
362,3,0.983910504, No I said the first. I said the first AfricanAmerican woman. The first AfricanAmerican woman.
366,3,0.996315899,You know the American people have an enormous opportunity. There's an incredible  incredible  I've never been more optimistic about our prospects in my entire career and I got elected when I was a 29yearold kid to the United States Senate.
370,3,0.995436198, You know Judy it was a constitutional necessity for the House to act as it did. And you know Trump's response to suggest that only half of the American people want to see him thrown out of office now I find
376,3,0.996062934, The answer is yes. The answer is yes because the opportunity  the opportunity for those workers to transition to highpaying jobs as Tom said is real. We're the only country in the world that's ever taken great great crises and turned them into enormous opportunities.
396,3,0.963331876, And I'm going to guess
405,3,0.983910504, Politico doesn't have much of a sense of humor.
430,3,0.977634638,I'm the only guy that's not interrupted.
431,3,0.995436198,I'm the only guy that's not interrupted here all right? And I'm going to interrupt now. It costs $30 trillion. Let's get that straight $30 trillion over 10 years. Some say it costs $20 trillion. Some say it costs $40 trillion.
435,3,0.996062934, I think everyone up here on this stage and those who are not on this stage who've run we owe them because they're all pushing for the exact same thing. You're not the only one that does selfies Senator. I've done thousands of them thousands of them. And the crew that follows me can tell you
440,3,0.99241929,Number two who can help elect Democrats to the United States Senate in states like North Carolina and Georgia and Arizona and other states?
442,3,0.996062934,And so I think asking those questions I believe as you would expect that I'm the most qualified to answer those three questions. But most of all we've got to level with the American people. Don't play games with them. Tell them the truth and be authentic.
6,4,0.998713341,I'm still holding on to that torch. I want to make it clear to you look the fact of the matter is what we have to do is make sure that everybody is prepared better to go on to educate for an education. The fact is that that's why I propose us focusing on schools that are in distress. That's why I think we should triple the amount of money we spend for Title I schools. That's why I think we should have universal PreK. That's why I think every single person who graduates from high school'65 out of 100 now need something beyond high school and we should provide for them to be able to get that education. That's why there should be free community college cutting in half the cost of college. That's why we should be in the position where we do not have anyone have to pay back the student debt when they get out they're making less than $25000 a year. Their debt is frozen. No interest payment until they get beyond that. We can't put people in a position where they aren't able to go on and move on.
15,4,0.998060518,But here's the deal. The deal is that he's right about three things. Number one they in fact contribute to the wellbeing of the country but they also'for example they've increased the lifespan of Social Security because they're'they have a job. They're paying the Social Security tax. That's what they're doing. It's increase the lifespan. They would do the same thing in terms of reducing the overall cost of healthcare by them being able to be treated and not wait until there in extremis.
22,4,0.995041532,close to immoral. But the fact is that look we should not be locking people up. We should be making sure we change the circumstance as we did why they would leave in the first place. And those who come seeking asylum we should immediately have the capacity to absorb them
58,4,0.993304504,Just look at this stage made up of very diverse people from diverse backgrounds went on to be mayors senators governors congresswomen
112,4,0.997211676,And the fact of the matter is secondly there was nothing done for the entire eight years he was mayor there was nothing done to deal with the police department that was corrupt. Why did you announce on the first day a zero tolerance policy of stop and frisk and hire Rudy Giuliani's guy in 2007 when I was trying to get rid of the crack cocaine disparity?
140,4,0.987436035, Well I love your affection for me. You spend a lot of time with me.
147,4,0.99691127,I wrote the Violence against Women Act. Lilly Ledbetter. I was deeply involved in making sure the equal pay amendments. I was deeply involved on all these things. I came up with the it's on us proposal to see to it that women were treated more decently on college campuses.
151,4,0.996735411,The Hyde Amendment in the past was available because there was other access for those kinds of services provided privately. But once I wrote the legislation making sure that every single woman would in fact be have an opportunity to have healthcare paid for by the federal government everyone that  that could no longer stand.
176,4,0.963331876, George 15 seconds? Fifteen seconds?
177,4,0.997340982, Fifteen seconds. Look everybody says we want an option. The option I'm proposing is Medicareforall ' Medicare for choice. If you want Medicare if you lose the job from your insurance ' from your employer you automatically can buy into this. You don't have ' no preexisting condition can stop you from buying in. You get covered period.
181,4,0.99241929,And we're talking four six eight ten years depending on who you talk about before we get to Medicareforall. Come on. I've been there. You've been there. You know what it's like. People need help now
194,4,0.778142202,When you finish your term in prison you should be able not only to vote but have access to Pell grants have access to be able to get housing
205,4,0.898283932, We are ready to do this.
237,4,0.99691127, No it wasn't wrong to pull out. But I want to answer your Afghanistan question. I've been in and out of Afghanistan not with a gun and I admire my friend for his service. But I've been out of Afghanistan I think more than anybody on this ' and it's an open secret you reported a long time ago George
269,4,0.996315899, Look my son's statement speaks for itself. I did my job. I never discussed a single thing with my son about anything having do with Ukraine. No one has indicated I have. We've always kept everything separate. Even when my son was the attorney general of the state of Delaware we never discussed anything so there would be no potential conflict.
271,4,0.584271299, First of all the plan we're hearing discussed is the  plan the one I built forward. Build on Obamacare add a public option. We can go into that. I can talk about that if you'd like.
282,4,0.997340982, I would not have withdrawn the troops and I would not have withdrawn the additional thousand troops who are in Iraq which are in retreat now being fired on by Assad's people. And the president of the United States saying if those ISIS folks escape from the prisons they're in they'll only go to Europe and won't affect us.
285,4,0.994572145, I would want those thousand troops to be protected by air cover those thousand troops that are being  having to withdraw under fire make it clear that they're not going anywhere and have them protected and work my way back toward what in fact
296,4,0.987436035, Because I've watched it. I know what the job is. I've been engaged.
298,4,0.998060518,It is required now more than any time in any of our lifetimes to have someone who has that capacity on day one. That's one of the reasons why I decided to run why I decided to run this time because I know what has to be done. I've done it before. I've been there when we pulled the nation out of the worst financial recession in history. I've been there and I've got so many pieces of legislation passed including the Affordable Care Act as well as making sure that we had the Recovery Act
306,4,0.994004598,And so I would not pack the court. What I would do is make sure that the people that I recommended for the court from Ruth Bader Ginsburg to Elena Kagan who used to work for me to others that they in fact
312,4,0.99241929, If you eliminated the entire Pentagon every single thing plane ship troop the buildings
317,4,0.996315899, The greed and profiteering of those insurance companies they are as much against my bill as they are anybody else. They were strongly against Obamacare. They know it cost them. And it's going to take away the right of people to choose the 160 million people out there who've negotiated their health insurance and they want to keep it. They should have a right to keep it.
319,4,0.977634638, You did a hell of a job in your job.
348,4,0.997458827, Well first of all I'd go back in making sure we had the alliances we had before since he became president. He has absolutely ostracized us from South Korea. He has given North Korea everything they wanted creating the legitimacy by having a meeting with Kim Jongun who's a thug  although he points out that I'm a rabid dog who needs to be beaten with a stick very recently was his comment.
355,4,0.995436198, Yes. And by the way it's one of the reasons  the first thing I would do is make sure we pass the Violence Against Women Act reauthorization which I wrote. The fact  I didn't write the reauthorization. I wrote the original act.
371,4,0.994004598,You know we need to restore the integrity of the presidency the office of the presidency and it's about time we get that underway. My job and I think the job of all of us up here is to in fact  well that's not true
373,4,0.995436198,You have for example farmers in the Midwest 40 percent of them couldn't pay their bills last year. You have most Americans if they received a bill for $400 or more they'd have to sell something or borrow the money.
378,4,0.996315899,We have enormous opportunities. For example you talk about would we relocate people who in fact were in a position where they lost their home? We have to not rebuild to the standard that existed before when we talk about when we come in and help people. We have to rebuild with the standard that exists today.
393,4,0.99241929,Secondly we in fact should make sure that we begin to rebuild our alliances which Trump has demolished with Japan and South Korea
414,4,0.996538319,The people who come here have determination resilience. They are ready to stand up and work like the devil. We have 24 out of every 100 children in our schools today is Hispanic. The idea that we are going to walk away and not provide every opportunity for them is not only stupid and immoral but it's bad for America.
424,4,0.996538319,But now that it's been exposed that taking it away has such dire consequences I've added to the Obamacare plan the  initiative which is a public option Medicare if you want to have Medicare reducing significantly the price of drugs
43,5,0.995772669,I think you've so underestimated what Barack Obama did. He's the first man to bring together the entire world 196 nations to commit to deal with climate change immediately.
46,5,0.995041532,Okay. I'm the only person that's beaten the NRA nationally. I'm the guy that got the Brady Bill passed the background checks number one.
105,5,0.995436198,That's the essence of what my plan in detail lays out. I'm happy to discuss it more in detail if the senator would want to. And so I  you know I look  anyway that's what I think my plan  I know what my plan does and I think it's not dissimilar to what the senator said we should be working together on getting things done.
111,5,0.994004598, Number one the bill he talks about is a bill that in my  our administration we passed. We passed that bill that you added onto. That's the bill in fact you passed.
121,5,0.997665732,But h's the deal; in area there's also another piece. Eightyfive percent of it is something I helped negotiate; and that is the Paris Climate Accord. I would immediately rejoin that Paris Accord. I would make sure that we up the ante which it calls for. I would be able to bring those leaders together who I know I  I convene them in the White House like we did in nuclear summit and I would raise the standard.
123,5,0.987436035,  in research for new alternatives to deal with climate change.
129,5,0.994004598, Because we did it. I was asked to manage an $87 billion plan that would be spent in a total of 18 months that revived this state and many others because  and it kept us out of a depression with 0.2% of waste or fraud.
135,5,0.998060518, I would not rejoin the TPP as it was initially put forward. I would insist that we renegotiate pieces of that with the Pacific nations that we had in South America and North America so that we could bring them together to hold China accountable for the rules of us setting the rules of the road as to how trade should be conducted. Otherwise they're going to do exactly what they're doing fill the vacuum and run the  and run the table.
162,5,0.997211676,I refuse to postpone giving single child in America no matter their Zip code preK all the way through high school and beyond. I refuse to postpone any longer taking on climate change and leading the world in taking on climate change.
172,5,0.99691127,The senator said before it's going to cost you in your pay ' there will be a deductible in your paycheck. You're going to ' the middle class person someone making 60 grand with three kids they're going to end up paying $5000 more. They're going to end up paying 4 percent more on their income tax. That's a reality. Now
190,5,0.996735411,I've been involved from the beginning. As a young congressman ' as a young councilman I introduced legislation to try to keep them from putting a sewer plant in a poor neighborhood. I made sure that we dealt with redlining; banks should have to lend where they operate et cetera.
192,5,0.996735411,Nobody should be in jail for a nonviolent crime. As ' when we were in the White House we released 36000 people from the federal prison system. Nobody should be in jail for a drug problem. They should be going directly to a rehabilitation. We build more rehabilitation centers not prisons.
200,5,0.99241929,Over 90% of the American people think we have to get assault weapons off the street ' period. And we have to get buybacks and get them out of their basements.
208,5,0.994572145," No what I said was ' the question ' speak to constitutional scholars. If in fact we could say ""By the way you can't own the following weapons period; they cannot be sold anymore"" ' check with constitutional scholars. Now you can say"
211,5,0.996735411,Number two ' number two by the time ' this is a president who came along with the DACA program. No one had ever done that before. This is the president that sent legislation to the desk saying he wants to find a pathway for the 11 million undocumented in the United States of America. This is a president who's done a great deal. So I'm proud to have served with him.
213,5,0.993304504,I would change the order that the president just changed saying women who were being beaten and abused could no longer claim that as a reason for asylum.
235,5,0.994572145,In addition to that we're in a position where if we don't set the rules we in fact are going to find ourselves with China setting the rules. And that's why you need to organize the world to take on China
238,5,0.995772669,The whole purpose of going to Afghanistan was to not have a counterinsurgency meaning that we're going to put that country together. It cannot be put together. Let me say it again. It will not be put together. It's three different countries. Pakistan owns the three counties ' the three provinces in the east. They're not any part of ' the Haqqanis run it. I will go on and on.
239,5,0.996735411,But here's the point. The point is that it's a counterterrorism strategy. We can prevent the United States from being the victim of terror coming out of Afghanistan by providing for bases ' insist the Pakistanis provide bases for us to air lift from and to move against what we know.
249,5,0.997458827,The teachers are ' I'm married to a teacher. My deceased wife is a teacher. They have every problem coming to them. We have ' make sure that every single child does in fact have 3 4 and 5yearolds go to school. School. Not daycare. School. We bring social workers in to homes and parents to help them deal with how to raise their children.
253,5,0.996538319,Number two you talk about the need to do something in Latin America. I'm the guy that came up with $740 million to see to it those three countries in fact changed their system so people don't have to chance to leave. You're all acting like we just discovered this yesterday. Thank you very much.
294,5,0.997211676,The way to deal with those guns and those AR15s and assault weapons that are on the street  or not on the street that people own is to do what we did with the National Firearms Act as it related to machine guns. You must register that weapon. You must register it. When you register it the likelihood of it being used diminishes exponentially.
336,5,0.995436198,But here's the deal they get to choose. I trust the American people to make a judgment what they believe is in their interest and not demand of them what the insurance companies  they want no  no competition. And my friends say you have to only go Medicare for all.
